num_detect,fps
2,6.3950916578614745
2,6.48455970340778
2,6.468409031675018
2,6.525804152936088
2,6.385696103089393
0,9.630853235424459
0,9.562151761369336
1,7.208231292867737
1,7.600304425035335
1,7.508479097186046
1,7.4829469327315055
0,9.75703169526025
0,8.96716979518536
1,6.5130966800211185
1,7.059810472808066
1,7.596794146147089
1,7.539183296365133
1,7.7413105749638245
1,7.597977642478928
1,7.654621640167608
1,7.562386973587654
2,6.427352732499606
1,7.594552019091834
1,7.623886446134075
1,7.654342256060617
1,7.483253998272946
1,7.5103344667852046
2,6.465597161139552
2,6.401074399084319
2,6.511832698084939
2,6.475439422594465
2,6.34247486783688
2,6.485783031180222
2,6.401347940087482
2,6.427076964567828
2,6.370323793728253
2,5.968050336301016
2,6.420082349879842
2,6.305981829143432
2,6.265476202924574
2,6.450175467734544
2,6.2983779173311465
2,6.528384116350596
2,6.427549724082868
2,6.295560705580038
2,6.378791219988472
2,6.487147284999288
2,6.28571086027371
2,6.30460741105947
2,6.362950107406823
2,6.552054124729946
2,6.427480775655191
3,5.657962256006259
3,5.5360118261971385
2,6.419630339355574
2,6.421497750954582
3,5.662958242422933
3,5.560982077275343
2,6.400087891832011
2,6.304635841226083
2,6.443090923335233
2,6.467301939741573
2,6.554245183510252
2,6.46971608735489
2,6.364070039146664
2,6.408145118535981
3,5.5391921606434185
3,5.517702991762196
3,5.710226336748239
3,5.2942875319350895
3,5.578755977042835
3,5.444581320753982
3,5.431600975907921
3,5.3680632346316095
3,5.48743437208493
3,5.341946395912192
3,5.306733268047785
3,5.233845074939386
2,6.041524185951378
2,6.021678769449876
3,5.28966043446732
3,5.433254444155141
3,5.508673496191227
3,5.433817556669418
3,4.7137868834956365
3,4.778406903010155
3,5.363999099670561
3,5.202760215289846
3,5.256323046190633
3,5.200012397795672
3,5.019067243925263
3,4.944906137299032
3,4.955428009725829
3,4.920524160908483
3,4.642710951863868
3,3.8780706101647273
3,3.678326719431716
3,3.8275448271204877
3,4.087143192632372
3,4.096976232617928
3,4.785319694145082
3,4.756913696740945
3,4.735618323730683
3,4.767793242364581
3,4.996044191655996
1,6.444496685027695
0,7.430372324312067
0,8.67681715874487
0,8.91254061244308
0,9.04566717204285
0,9.656952087122695
0,9.46748468473349
0,9.47306560424247
0,9.470156718153431
0,9.386947404229415
0,9.475655159949394
0,9.354977138396341
0,9.466053095427782
0,9.500165346162383
0,9.521105403301046
0,9.377482259196823
0,9.433160756937166
0,9.420596684387965
0,9.419961954556582
0,9.51248962410926
0,9.3127286937369
0,9.556683155345226
0,9.38262170910612
0,9.37947443864761
0,9.293270732750312
0,9.298132749267886
0,9.49171628297476
0,9.293270732750312
0,9.39186589907051
0,9.425550514277752
0,9.295639300373217
0,9.133937282229965
0,9.558708642324188
0,9.511928736007548
0,9.38677934163028
0,9.387745783766242
0,9.299019173125698
0,9.380858977484438
0,9.31804579596425
0,9.33110565810228
0,9.379285669561796
0,9.38581309845886
0,9.531729222154551
0,9.382789622858882
0,9.505224775247415
0,9.44895030536776
0,9.196905643166629
0,9.211306641367058
0,9.387724772038515
0,9.4285168358986
0,9.33542552788962
0,9.24429711847447
